,User,Date Created,Number of Likes,Source of Tweet,Tweet
80,whitedapoet,2022-12-19 17:35:51+00:00,4,Twitter for Android,I love C.Ronaldo and Messi. I am so happy i saw both of em play.i Can't be hating on greatness. #goatdebate #messi #Ronaldo
81,AtuboluO,2022-12-19 17:19:48+00:00,2,Twitter for iPhone,Messi photo is 10millions away from being the most liked Instagram photo ever. Let’s get the #Goat the most liked ever on Instagram.  #FIFAWorldCup #Messi𓃵 #goatdebate #goatmessi #Mbappe #ThankYouQatar #WorldCupFinal #LionelMessi𓃵 #FIFAWorldCup #Benzema https://t.co/ifGWZ9LrFQ
82,DeuceInfoSec,2022-12-19 17:12:24+00:00,1,Twitter for Android,"Pele ain't no goat..he's ONLY The Best That Ever Lived..🇧🇷⚽️🌍
#goatdebate #GOAT #Pele #TheBestEver #WorldCup #ojogobonito https://t.co/nefhaPxRWe"
83,A_Real_Godd,2022-12-19 17:01:03+00:00,0,Twitter for iPhone,"Subscribe https://t.co/i881WUhd6b  AND LETS CREATE HIS-STORY 👑🐐 

#Mbappe #CR7𓃵 #goatdebate https://t.co/zAd5UamKHl"
84,GyeningYeboah,2022-12-19 16:06:38+00:00,0,Twitter for iPhone,"H🔥T S🌶️ACE! 

Make sure you add it to your supper. Ɛyɛ kama papa! 

#Messi #Qatar2022 #ArgentinaVsFrance #goatdebate #GOATDebateisover https://t.co/1cw6Ubf9Mz"
85,vazeegar,2022-12-19 15:58:31+00:00,0,Twitter for Android,"For the past many years, this legend gave me unlimited goosebumps and many many occasions to enjoy with full on energy mood. I was truly able to reply any trolls within a few days s because of this man's unmatchable passion and confidence.
#GOAT𓃵
#CristianoRonaldo 
#goatdebate https://t.co/1yfqF313Q8"
86,vazeegar,2022-12-19 15:56:34+00:00,0,Twitter for Android,"I know, putting this man's pic on my wall/status today might recieve many trolls, my pm/inbox will be filled by some 😂😂 reactions and funny replies but tbh I don't care about that.
#CristianoRonaldo 
#GOAT𓃵 
#goatdebate 
#CR7𓃵 https://t.co/ROMDFhTnd0"
87,vazeegar,2022-12-19 15:53:46+00:00,1,Twitter for Android,"Cristiano Ronaldo, for me you are the  greatest in the history of this beautiful game. And I will keep supporting you strongly unlike some boneless craps who enjoyed many years with all privileges as fans, now nicely changing their stands!
#CristianoRonaldo 
#GOAT𓃵 
#goatdebate https://t.co/iVuk3EU3Rb"
88,Fla_Geral,2022-12-19 14:59:38+00:00,0,Twitter for iPhone,Quem é maior? 🐐 #GOAT #goatdebate #messi #maradona #Pele
89,CMigwambo,2022-12-19 14:12:38+00:00,0,Twitter Web App,"1.Pele
2.Maradona
3.Zidane
4.Ronaldinho
5.CR7
6.Messi

#goatdebate"
90,otiistic,2022-12-19 13:29:07+00:00,0,Twitter for Android,The mantle was handed over from the Messiah to the new #GOAT𓃵 #FIFAWorldCup #Messi𓃵 #historical #Mbappe #WorldCup #Argentina #mygoat #GoldenBoot #GOAT #goatdebate https://t.co/tzEczdLR5g
91,otiistic,2022-12-19 13:26:00+00:00,2,Twitter for Android,Its the norm #FIFAWorldCup #Messi𓃵 #Mbappe #mygoat #goatdebate #GOAT
92,SirmeMtalii,2022-12-19 13:15:53+00:00,0,Twitter for Android,@ESPNFC R. I. P TO #GOATDEBATE
93,MoKazim_7,2022-12-19 13:10:58+00:00,1,Twitter Web App,Checkmate!!!! #goatdebate https://t.co/Vxm0GtYsgd
94,joshuaokurut1,2022-12-19 12:59:46+00:00,4,Twitter for Android,@anthoxyllb1 Lol 🤣⚽⚽⚽🤣 @anthoxyllb1 #goatdebate
95,irfannathi,2022-12-19 12:31:13+00:00,2,Twitter for Android,"I think we all must now admit that Leo Messi is the greatest player of all-time, after Cristiano Ronaldo 🐐

#GOAT𓃵 | #GOAT | #goatdebate | #CristianoRonaldo | #Messi | #CR7𓃵 | #Messi𓃵 | #Ronaldo𓃵 | #Cristiano | https://t.co/Euulqcm6Jv"
96,PFrimpmans,2022-12-19 11:35:10+00:00,1,Twitter for Android,"I decided who my GOAT was 10years ago.
So I'm really not into this #GoatDebate 
I made up my mind in 2012 and I'm still sticking to it till I see a player better than Lionel Messi. 
It's not just the numbers cos they don't give you the feeling."
97,contacts13525,2022-12-19 11:33:12+00:00,0,Twitter Web App,"Pseudo Goat witnessing the Real GOAT lifting the world cup trophy... GOAT debate finally ended ❤️😍🔥
#Messi𓃵 #Messi #Messi𓃵day #messivsronaldo #GOAT𓃵 #goatdebate #FIFAWorldCup2022Final #FIFAWorldCup2022 #FIFAWorldCupFinal #ArgentinaVsFrance #Qatar2022 https://t.co/fMAicNyV1H"
98,RhHassan,2022-12-19 11:10:36+00:00,1,Twitter Web App,"@LoganPaul If World Cup is the criteria, then Pele is the undisputed GOAT.
If Champions League is the criteria, then Cristiano Ronaldo is the undisputed GOAT.
Leo Messi is just a bystander either way. 
#GOAT𓃵 #goatdebate #CR7GOAT"
99,shakib_far4,2022-12-19 10:38:35+00:00,0,Twitter for iPhone,"11:55 PM, 18 December, 2022.. 
Lionel Andres Messi.. He is the GOAT! No more argument, no more debate. He is above all. Never ever compare him❤️ 
That’s the post! Let’s end this conversation. #FIFAWorldCup #Messi𓃵 #ArgentinaVsFrance #WorldCupFinal #GOATdebate #MessivsRonaldo"
100,IzuchukwuEmma18,2022-12-19 10:37:40+00:00,0,Twitter for Android,@Carra23 #goatdebate https://t.co/36fQMcClb7
101,DasPrium,2022-12-19 10:03:36+00:00,0,Twitter for Android,The #goatdebate?  There was never one. Ronaldo he can be one. But #Messi?  He is not a GOAT. He is a GOD.
102,Shuvro__Rahman,2022-12-19 09:55:49+00:00,0,Twitter for Android,"I'm gonna end the GOAT debate...
.
.
.
.
Ladies &amp; gentlemen, presenting you the ultimate GOAT

#GOAT #GOAT𓃵 #goatdebate https://t.co/jmC932dKqO"
103,iKyrianOfficial,2022-12-19 09:51:53+00:00,5,Twitter for iPhone,"My GOAT vs YOURS

Ballon D’or NO: 8 Loading…
#ArgentinaVsFrance #WorldCup #Messi #Mbappe #الارجنتين_فرنسا #ThankYouQatar #Argentina #GOAT𓃵 #FIFAWorldCup #Messi𓃵 #goatdebate https://t.co/a17fSXN8Mb"
